Fiscal Year,Service (Cabinet),Department,Program #,Program,Expense Type,ACCT #,Expense Category (Account),Fund,Amount
2015,Education,Boston Public Schools,101013,Early Learning Services,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$198.00
2015,Education,Boston Public Schools,101013,Early Learning Services,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$506.00
2015,Education,Boston Public Schools,101013,Early Learning Services,Equipment,55600,Office Furniture & Equipment,General Fund,$1197.00
2015,Education,Boston Public Schools,101013,Early Learning Services,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101014,BPS Legal Advisor,Personnel Services,51000,Permanent Employees,General Fund,$53928.00
2015,Education,Boston Public Schools,101014,BPS Legal Advisor,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Education,Boston Public Schools,101014,BPS Legal Advisor,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Education,Boston Public Schools,101014,BPS Legal Advisor,Special Appropriations,56200,Special Appropriations,General Fund,$22500.00
2015,Education,Boston Public Schools,101016,Development,Personnel Services,51200,Overtime,General Fund,$24691.00
2015,Education,Boston Public Schools,101016,Development,Contractual Services,52900,Contracted Services,General Fund,$305114.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Personnel Services,51000,Permanent Employees,General Fund,$3209030.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Personnel Services,51100,Emergency Employees,General Fund,$22329.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Personnel Services,51200,Overtime,General Fund,$139056.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Contractual Services,52800,Transportation of Persons,General Fund,$10366.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Contractual Services,52900,Contracted Services,General Fund,$312025.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Supplies & Materials,53200,Food Supplies,General Fund,$3734.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$1677642.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$26139.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Current Charges & Obligations,54800,Reserve Account,General Fund,$0.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Current Charges & Obligations,54900,Current Charges,General Fund,$25829.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Equipment,55600,Office Furniture & Equipment,General Fund,$12854.00
2015,Education,Boston Public Schools,101018,Teaching & Learning,Equipment,55900,Misc Equipment,General Fund,$17246.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Personnel Services,51000,Permanent Employees,General Fund,$351928.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Personnel Services,51100,Emergency Employees,General Fund,$183178.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Personnel Services,51200,Overtime,General Fund,$-11232.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Personnel Services,51500,Pension & Annuity,General Fund,$0.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Personnel Services,51700,Workers' Compensation,General Fund,$0.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Personnel Services,51900,Total Medicare,General Fund,$0.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Contractual Services,52800,Transportation of Persons,General Fund,$1791.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Contractual Services,52900,Contracted Services,General Fund,$457177.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$0.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Current Charges & Obligations,54900,Current Charges,General Fund,$215732.00
2015,Education,Boston Public Schools,101020,BPS Chief Financial Officer,Equipment,55900,Misc Equipment,General Fund,$1160.00
2015,Education,Boston Public Schools,101021,AcadSup-Elementary A,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101023,AcadSup-Middle and K8,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101024,AcadSup-High/Car & Tech,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101024,AcadSup-High/Car & Tech,Personnel Services,51200,Overtime,General Fund,$0.00
2015,Education,Boston Public Schools,101024,AcadSup-High/Car & Tech,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Education,Boston Public Schools,101024,AcadSup-High/Car & Tech,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101024,AcadSup-High/Car & Tech,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Education,Boston Public Schools,101026,Institutional Advancemt,Personnel Services,51000,Permanent Employees,General Fund,$172336.00
2015,Education,Boston Public Schools,101026,Institutional Advancemt,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Education,Boston Public Schools,101026,Institutional Advancemt,Contractual Services,52900,Contracted Services,General Fund,$54087.00
2015,Education,Boston Public Schools,101026,Institutional Advancemt,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$0.00
2015,Education,Boston Public Schools,101026,Institutional Advancemt,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Education,Boston Public Schools,101026,Institutional Advancemt,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101027,Accountability,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101027,Accountability,Personnel Services,51200,Overtime,General Fund,$0.00
2015,Education,Boston Public Schools,101027,Accountability,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Personnel Services,51000,Permanent Employees,General Fund,$100487.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Personnel Services,51200,Overtime,General Fund,$377179.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Supplies & Materials,53200,Food Supplies,General Fund,$971.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$1142.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$8.00
2015,Education,Boston Public Schools,101028,Student Support Svc,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Personnel Services,51000,Permanent Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Personnel Services,51300,Part-Time Employee,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Contractual Services,52900,Contracted Services,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Education,Boston Public Schools,101029,Strategy Department,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51000,Permanent Employees,General Fund,$1300048.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51200,Overtime,General Fund,$19926.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51300,Part-Time Employee,General Fund,$7508.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51400,Health Insurance,General Fund,$98845376.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51500,Pension & Annuity,General Fund,$12078841.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51600,Unemployment Compensation,General Fund,$3710376.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51700,Workers' Compensation,General Fund,$2962555.00
2015,Education,Boston Public Schools,101030,Business Service,Personnel Services,51900,Total Medicare,General Fund,$7858047.00
2015,Education,Boston Public Schools,101030,Business Service,Contractual Services,52800,Transportation of Persons,General Fund,$137600.00
2015,Education,Boston Public Schools,101030,Business Service,Contractual Services,52900,Contracted Services,General Fund,$1818203.00
2015,Education,Boston Public Schools,101030,Business Service,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101030,Business Service,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$305794.00
2015,Education,Boston Public Schools,101030,Business Service,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$402442.00
2015,Education,Boston Public Schools,101030,Business Service,Current Charges & Obligations,54300,Workers' Comp Medical,General Fund,$963239.00
2015,Education,Boston Public Schools,101030,Business Service,Equipment,55900,Misc Equipment,General Fund,$6858.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Personnel Services,51000,Permanent Employees,General Fund,$326501.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Personnel Services,51200,Overtime,General Fund,$176113.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Contractual Services,52800,Transportation of Persons,General Fund,$1440.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Contractual Services,52900,Contracted Services,General Fund,$365890.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Supplies & Materials,53200,Food Supplies,General Fund,$2570.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$359.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$1007.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Education,Boston Public Schools,101032,High Schl Renewal,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Personnel Services,51000,Permanent Employees,General Fund,$787336.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Personnel Services,51200,Overtime,General Fund,$9700.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Personnel Services,51300,Part-Time Employee,General Fund,$13532.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Contractual Services,52800,Transportation of Persons,General Fund,$23750.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Contractual Services,52900,Contracted Services,General Fund,$306011.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Supplies & Materials,53200,Food Supplies,General Fund,$2922.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$234.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$182.00
2015,Education,Boston Public Schools,101033,Chief Academic Officer,Equipment,55900,Misc Equipment,General Fund,$6716.00
2015,Education,Boston Public Schools,101034,Professional Dev,Personnel Services,51000,Permanent Employees,General Fund,$7800.00
2015,Education,Boston Public Schools,101034,Professional Dev,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101034,Professional Dev,Personnel Services,51200,Overtime,General Fund,$0.00
2015,Education,Boston Public Schools,101034,Professional Dev,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101034,Professional Dev,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Education,Boston Public Schools,101034,Professional Dev,Contractual Services,52900,Contracted Services,General Fund,$129355.00
2015,Education,Boston Public Schools,101034,Professional Dev,Supplies & Materials,53200,Food Supplies,General Fund,$6200.00
2015,Education,Boston Public Schools,101034,Professional Dev,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$0.00
2015,Education,Boston Public Schools,101034,Professional Dev,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$0.00
2015,Education,Boston Public Schools,101034,Professional Dev,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101040,Facility Management,Personnel Services,51000,Permanent Employees,General Fund,$22983162.00
2015,Education,Boston Public Schools,101040,Facility Management,Personnel Services,51200,Overtime,General Fund,$1815486.00
2015,Education,Boston Public Schools,101040,Facility Management,Personnel Services,51300,Part-Time Employee,General Fund,$0.00
2015,Education,Boston Public Schools,101040,Facility Management,Personnel Services,51700,Workers' Compensation,General Fund,$26666.00
2015,Education,Boston Public Schools,101040,Facility Management,Contractual Services,52100,Communications,General Fund,$26642.00
2015,Education,Boston Public Schools,101040,Facility Management,Contractual Services,52200,Utilities,General Fund,$19557166.00
2015,Education,Boston Public Schools,101040,Facility Management,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$983157.00
2015,Education,Boston Public Schools,101040,Facility Management,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$45623.00
2015,Education,Boston Public Schools,101040,Facility Management,Contractual Services,52900,Contracted Services,General Fund,$45414.00
2015,Education,Boston Public Schools,101040,Facility Management,Supplies & Materials,53000,Auto Energy Supplies,General Fund,$80587.00
2015,Education,Boston Public Schools,101040,Facility Management,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$489365.00
2015,Education,Boston Public Schools,101040,Facility Management,Current Charges & Obligations,54900,Current Charges,General Fund,$1154815.00
2015,Education,Boston Public Schools,101040,Facility Management,Equipment,55000,Automotive Equipment,General Fund,$90039.00
2015,Education,Boston Public Schools,101040,Facility Management,Equipment,55900,Misc Equipment,General Fund,$910.00
2015,Education,Boston Public Schools,101042,School-To-Career,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101043,Alternative Education,Personnel Services,51000,Permanent Employees,General Fund,$1386950.00
2015,Education,Boston Public Schools,101043,Alternative Education,Personnel Services,51100,Emergency Employees,General Fund,$41212.00
2015,Education,Boston Public Schools,101043,Alternative Education,Personnel Services,51200,Overtime,General Fund,$22544.00
2015,Education,Boston Public Schools,101043,Alternative Education,Contractual Services,52100,Communications,General Fund,$2426.00
2015,Education,Boston Public Schools,101043,Alternative Education,Contractual Services,52800,Transportation of Persons,General Fund,$4615.00
2015,Education,Boston Public Schools,101043,Alternative Education,Contractual Services,52900,Contracted Services,General Fund,$965814.00
2015,Education,Boston Public Schools,101043,Alternative Education,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$199.00
2015,Education,Boston Public Schools,101043,Alternative Education,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$25750.00
2015,Education,Boston Public Schools,101043,Alternative Education,Equipment,55900,Misc Equipment,General Fund,$13422.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Personnel Services,51000,Permanent Employees,General Fund,$571525.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Personnel Services,51100,Emergency Employees,General Fund,$0.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Personnel Services,51200,Overtime,General Fund,$1500.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Contractual Services,52800,Transportation of Persons,General Fund,$1406.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Contractual Services,52900,Contracted Services,General Fund,$1718.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Supplies & Materials,53200,Food Supplies,General Fund,$1886.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$8710.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$530.00
2015,Education,Boston Public Schools,101044,Comprehensive Health Education,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Personnel Services,51000,Permanent Employees,General Fund,$4456872.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Personnel Services,51200,Overtime,General Fund,$87099.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Personnel Services,51300,Part-Time Employee,General Fund,$0.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Contractual Services,52600,Repairs Buildings & Structures,General Fund,$14239382.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Contractual Services,52800,Transportation of Persons,General Fund,$16476.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Contractual Services,52900,Contracted Services,General Fund,$493332.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Equipment,55000,Automotive Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Equipment,55600,Office Furniture & Equipment,General Fund,$51874.00
2015,Education,Boston Public Schools,101046,Planning & Engineering,Equipment,55900,Misc Equipment,General Fund,$62736.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Personnel Services,51000,Permanent Employees,General Fund,$694749.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Personnel Services,51200,Overtime,General Fund,$8141.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Contractual Services,52800,Transportation of Persons,General Fund,$2696.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Contractual Services,52900,Contracted Services,General Fund,$101595.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Supplies & Materials,53200,Food Supplies,General Fund,$23911.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$8850.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Education,Boston Public Schools,101049,Fam & Student Engagemt,Equipment,55900,Misc Equipment,General Fund,$2465.00
2015,Education,Boston Public Schools,101050,Communication,Personnel Services,51000,Permanent Employees,General Fund,$379314.00
2015,Education,Boston Public Schools,101050,Communication,Personnel Services,51200,Overtime,General Fund,$91691.00
2015,Education,Boston Public Schools,101050,Communication,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101050,Communication,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Education,Boston Public Schools,101050,Communication,Contractual Services,52900,Contracted Services,General Fund,$88344.00
2015,Education,Boston Public Schools,101050,Communication,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$2194.00
2015,Education,Boston Public Schools,101050,Communication,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Personnel Services,51000,Permanent Employees,General Fund,$1056236.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Personnel Services,51200,Overtime,General Fund,$174997.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Personnel Services,51300,Part-Time Employee,General Fund,$0.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Supplies & Materials,53200,Food Supplies,General Fund,$2661.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$0.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$7278.00
2015,Education,Boston Public Schools,101059,Exam Schools Enrichment Prgrm,Equipment,55900,Misc Equipment,General Fund,$3032.00
2015,Education,Boston Public Schools,101064,Horace Mann,Personnel Services,51000,Permanent Employees,General Fund,$6305987.00
2015,Education,Boston Public Schools,101064,Horace Mann,Personnel Services,51100,Emergency Employees,General Fund,$27637.00
2015,Education,Boston Public Schools,101064,Horace Mann,Personnel Services,51200,Overtime,General Fund,$15670.00
2015,Education,Boston Public Schools,101064,Horace Mann,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101064,Horace Mann,Contractual Services,52800,Transportation of Persons,General Fund,$2770.00
2015,Education,Boston Public Schools,101064,Horace Mann,Contractual Services,52900,Contracted Services,General Fund,$21010.00
2015,Education,Boston Public Schools,101064,Horace Mann,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$400.00
2015,Education,Boston Public Schools,101064,Horace Mann,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$9057.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Personnel Services,51000,Permanent Employees,General Fund,$786258.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Personnel Services,51100,Emergency Employees,General Fund,$1234.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Personnel Services,51200,Overtime,General Fund,$0.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Contractual Services,52800,Transportation of Persons,General Fund,$3630.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Contractual Services,52900,Contracted Services,General Fund,$4380.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$0.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$3745.00
2015,Education,Boston Public Schools,101068,Chief Operating Officer,Equipment,55900,Misc Equipment,General Fund,$955.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Personnel Services,51000,Permanent Employees,General Fund,$672228.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Personnel Services,51300,Part-Time Employee,General Fund,$0.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Contractual Services,52800,Transportation of Persons,General Fund,$0.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Contractual Services,52900,Contracted Services,General Fund,$849739.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Supplies & Materials,53600,Office Supplies and Materials,General Fund,$15905.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$13998.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$3188.00
2015,Education,Boston Public Schools,101069,Research Assess & Eval,Equipment,55900,Misc Equipment,General Fund,$2889.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Personnel Services,51000,Permanent Employees,General Fund,$24636317.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Personnel Services,51100,Emergency Employees,General Fund,$805505.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Personnel Services,51200,Overtime,General Fund,$23053.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Personnel Services,51300,Part-Time Employee,General Fund,$0.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Contractual Services,52800,Transportation of Persons,General Fund,$6658.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Contractual Services,52900,Contracted Services,General Fund,$111985.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Supplies & Materials,53200,Food Supplies,General Fund,$4929.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$7071.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$6820.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Current Charges & Obligations,54900,Current Charges,General Fund,$103680.00
2015,Education,Boston Public Schools,101070,BPS Human Resources,Equipment,55900,Misc Equipment,General Fund,$3840.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Personnel Services,51000,Permanent Employees,General Fund,$11321057.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Personnel Services,51100,Emergency Employees,General Fund,$26827.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Personnel Services,51200,Overtime,General Fund,$1800.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Contractual Services,52900,Contracted Services,General Fund,$100000.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Supplies & Materials,53800,Educational Supplies & Mat,General Fund,$25432.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Current Charges & Obligations,54900,Current Charges,General Fund,$0.00
2015,Education,Boston Public Schools,101079,McKinley Voc,Equipment,55900,Misc Equipment,General Fund,$0.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Personnel Services,51000,Permanent Employees,General Fund,$2177493.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Personnel Services,51100,Emergency Employees,General Fund,$527761.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Personnel Services,51200,Overtime,General Fund,$65128.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Personnel Services,51300,Part-Time Employee,General Fund,$6187841.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Contractual Services,52100,Communications,General Fund,$0.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Contractual Services,52800,Transportation of Persons,General Fund,$91977118.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Contractual Services,52900,Contracted Services,General Fund,$101581.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Supplies & Materials,53200,Food Supplies,General Fund,$0.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Supplies & Materials,53900,Misc Supplies & Materials,General Fund,$17977.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Current Charges & Obligations,54900,Current Charges,General Fund,$2056625.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Equipment,55400,Lease Purchase,General Fund,$5862246.00
2015,Education,Boston Public Schools,101081,BPS Transportation,Equipment,55900,Misc Equipment,General Fund,$19326.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Personnel Services,51000,Permanent Employees,General Fund,$4477357.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Personnel Services,51100,Emergency Employees,General Fund,$267.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Personnel Services,51200,Overtime,General Fund,$2248.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Contractual Services,52100,Communications,General Fund,$1621774.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Contractual Services,52700,Repairs & Service To Equipment,General Fund,$4784.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Contractual Services,52800,Transportation of Persons,General Fund,$6038.00
2015,Education,Boston Public Schools,101084,Info & Instr Technology,Contractual Services,52900,Contracted Services,General Fund,$2010365.00
